ROW_ID,ICD9_CODE
4974,56781
4994,56961
5822,57400
5823,57401
5828,57430
5829,57431
5834,57460
5835,57461
5838,57480
5839,57481
5845,57512
5928,59010
5929,59011
5932,59080
5933,59081
6361,59681
5703,63500
5704,63501
5705,63502
6532,63600
6533,63601
6534,63602
6562,63700
6563,63701
6564,63702
7100,65930
7101,65931
7102,65933
13558,67000
13559,67002
13560,67004
13564,67020
13565,67022
13566,67024
13567,67030
13568,67032
13569,67034
13570,67080
10622,67510
10623,67511
10624,67512
10625,67513
10626,67514
10627,67520
10628,67521
10629,67522
7271,68100
7274,68110
7291,68600
8159,71100
8160,71101
8161,71102
8162,71103
8163,71104
8164,71105
8165,71106
8166,71107
8167,71108
8168,71109
8396,71191
8397,71192
8398,71193
8399,71194
8400,71195
8401,71196
8402,71197
8403,71198
8404,71199
13830,73000
13831,73001
13832,73002
13833,73003
13834,73004
13835,73005
13836,73006
13837,73007
13839,73009
9960,73089
9961,73090
9962,73091
9963,73092
9964,73093
9965,73094
9966,73095
9967,73096
9968,73097
9969,73098
9970,73099
12991,78552
11403,99591
11404,99592
11436,99660
11437,99661
11438,99662
11439,99663
11440,99664
11441,99665
11442,99666
12368,99732
12384,99802
12396,99859
13214,99931
13215,99932
13216,99933
13217,99934
13218,99939
13059,V090
13060,V091
13061,V092
13062,V093
13063,V094
13064,V0950
13065,V0951
13066,V096
13067,V0970
13068,V0971
13069,V0980
13070,V0981
13071,V0990
13072,V0991
